FragmentID,SMILES,Unnamed: 2,MW,logP,HBD,HBA,TPSA,RotBonds,Solubility_mg_per_mL
Z2896887363,[K+].[O-]C(=O)C1=COC(CN2CC[C@H](O)C2)=N1,,250.29499999999996,-4.3912999999999975,1,6,89.63,3,12.06041283025889
Z3052952334,Cl.Cl.OC1(CN2CCC(CC2)OC=3C=CC=C(C3)C(F)(F)F)CCNC1,,417.2990000000001,3.116600000000001,2,4,44.730000000000004,4,1.3594259127477353e-05
Z1258981692,NC=1N=CC=C(N1)N2CCC(O)C2,,180.21099999999998,-0.3702000000000003,2,5,75.27,1,2.965371413485891
Z3001750495,Cl.Cl.CCC1=NC(=NN1)[C@@H]2C[C@@H](O)CN2,,255.14900000000003,0.6059999999999997,3,4,73.83,2,0.07552836276347608
Z2418413815,Cl.CN1C=C(N)C(=N1)C(=O)N2CCCC2CO,,260.72499999999997,0.02099999999999974,2,5,84.38000000000001,2,0.12364531807945177
Z1546610488,CC1=CN(C(=O)NC1=O)[C@@H]2C[C@@H](O)[C@H](CO)O2,,242.231,-1.5142799999999992,3,6,104.55000000000001,2,1.2220639194937741
Z2310170022,"CC(C)N1C=C(C=N1)[C@@H]2CNC[C@H]2CO |&1:8,12,r|",,209.29299999999998,0.7592999999999999,2,4,50.08,3,0.020715675680726752
Z1546624231,Cl.CC(C)[C@H](N)C(=O)OCCOCN1C=NC=2C(=O)NC(N)=NC21,,360.8020000000001,-0.37579999999999875,3,9,151.14000000000004,7,6.7330297942041155e-06
Z2228348553,CC(C)C(=O)NC1=NC2=C(N=CN2[C@@H]3O[C@H](CO)[C@@H](O)[C@H]3O)C(=O)N1,,353.33500000000004,-1.6743999999999997,5,9,162.59,4,0.009264919689382579
Z1741975385,OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)N2C=NC=3C(Cl)=NC=NC32,,286.675,-0.9088000000000003,3,8,113.52,2,0.28146786647520994
Z118507064,O=C(O)CN1C(=O)C(F)=CN(C1=O)C2CCCO2,,258.205,-0.45730000000000004,1,6,90.52999999999999,3,0.03647645697516131
Z1511499171,NC=1C=CN(C(=O)N1)[C@@H]2O[C@H](CO)[C@@H](O)[C@@H]2O,,243.21900000000002,-2.5629999999999993,4,8,130.83,2,4.484868343375738
Z2681261526,Cl.NCC1=CN(CC(F)(F)F)C(=O)NC1=O,,259.615,-0.020599999999999896,2,4,80.88,2,0.13944880002585452
Z2235802070,COC=1C=CC(=CC1Cl)CNC=2N=C(N=CC2C(=O)NCC=3N=CC=CN3)N4CCC[C@H]4CO,,483.9600000000003,2.4318000000000004,3,9,125.39,9,1.2528049712958525e-09
Z2955323494,Cl.Cl.O[C@H]1CN[C@@H](C1)C2=NNC(=N2)C=3C=CC=CC3,,303.19300000000004,1.7106,3,4,73.83,2,0.009104677566071136
Z1515383340,NC=1N=CN(C(=O)N1)[C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O,,244.207,-3.167999999999999,4,9,143.72,2,8.937060717418678
Z1546610471,NC1=NC(=O)C=2N=CN(COCCO)C2N1,,225.20799999999997,-1.3318000000000003,3,7,119.05000000000001,4,0.03013201769316434
Z754931264,CC1=CN(C(=O)NC1=O)[C@H]2C[C@H](N=[N+]=[N-])[C@@H](CO)O2,,267.245,-0.1962800000000004,2,6,133.07999999999998,3,0.014694911962750854
Z2760962857,CC1CN(CCN1CC(C)(C)O)C=2N=CN=C3C2N=CN3CC4(CO)COC4,,390.4880000000002,0.11660000000000054,2,9,99.77000000000001,6,2.241321164899792e-05
Z2760968725,O=C1CN(CN1CC(F)(F)F)C=2N=CN=C3C2N=CN3CC(CO)C4CCOC4,,414.38800000000026,0.6396999999999995,1,8,96.61000000000001,6,7.104451772501882e-06
Z2760974085,OCC(CN1C=NC2=C(N=CN=C21)N3C4CCC3C(CO)C4)C5CCOC5,,373.4570000000002,0.8208999999999997,2,8,96.53,6,1.0291062225045e-05
Z2760959656,CN(CCO)C1CCN(CC1)C=2N=CN=C3C2N=CN3CC4(O)CCOC4,,376.4610000000002,-0.12939999999999952,2,9,99.77000000000001,6,3.7719314511592445e-05
Z2760939441,CCNC(=O)CN(CC)C=1N=CN=C2C1N=CN2CC3(O)CCOCC3,,362.43400000000025,0.33020000000000005,2,8,105.4,7,3.834529931804203e-06
Z2760977749,OCCOCCN(CCO)C=1N=CN=C2C1N=CN2C3CC(CO)(CO)C3,,381.4330000000002,-1.0601999999999985,4,10,136.99,11,2.2208522354178555e-08
Z2760954293,N#CCC(=O)N1CCN(CC1)C=2N=CN=C3C2N=CN3CC4(O)CCOC4,,371.40100000000024,-0.4600200000000003,1,9,120.4,4,0.001260577260807919
Z2760954340,CN1CCC2C(CCCN2C=3N=CN=C4C3N=CN4C5CC(CO)(CO)C5)C1,,386.5000000000002,1.0526999999999997,2,8,90.54,4,0.0002072089443912739
Z2760966596,OCC1(CN2C=NC3=C(N=CN=C32)N4CCCC4C5COCCC5O)CCOCC1,,417.51000000000033,0.9816,2,9,105.76,5,2.350373500375372e-05
Z2760945022,CN(C)CCN1CCCN(CC1)C=2N=CN=C3C2N=CN3CC(O)C4CCCO4,,403.5310000000002,0.43990000000000223,1,9,82.78,7,2.377758285293789e-06
Z2760958053,CCOCCO[C@H]1CCN(C1)C=2N=CN=C3C2N=CN3CC(O)C4CCCO4,,391.4720000000002,0.9979999999999991,1,9,94.76000000000002,9,3.421955082924787e-08
Z107296876,O=C(CN1C(=O)C(F)=CN(C1=O)C2CCCO2)C3=C(NC4=CC=CC=C34)C=5C=CC=CC5,,433.4390000000001,3.489300000000002,1,6,86.09,5,5.765104524736478e-07
Z145544798,O=C(CN1C=CC(=O)NC1=O)N2CCNC(=O)C2,,252.22999999999993,-2.5049999999999972,2,5,104.27000000000001,2,4.0040615048408705
Z191397962,CCNC(=O)N1CCN(CC1)C(=O)CN2C=CC(=O)NC2=O,,309.326,-1.5896999999999966,2,5,107.50999999999999,3,0.10024119275054612
Z1542548589,CC1CN(CCN1CC(F)(F)F)C(=O)CN2C=CC(=O)NC2=O,,334.29800000000006,-0.36839999999999934,1,5,78.41,3,0.016562205858023236
Z3204056427,CCN1C=C(CNC(=O)C(F)C(F)(F)F)C(=O)NC1=O,,297.20799999999997,0.07310000000000005,2,4,83.96000000000001,4,0.002585579496794593
Z1272967670,N#CC1=CN(C(=O)N(CC2CCC2)C1=O)C3CC3,,245.28199999999993,1.0166799999999998,0,5,67.78999999999999,3,0.00577655454759586
Z382844786,CCC(C)NC(=O)CN1C=CC(=O)N(C)C1=O,,239.27499999999998,-0.5382999999999993,1,5,73.1,4,0.011532443216430184
Z135626990,CCC(C)(C)NC(=O)CN1C=CC(=O)NC1=O,,239.27499999999998,-0.1585999999999998,2,4,83.96000000000001,4,0.006661167046771952
Z94556663,O=C(CN1C(=O)C(F)=CN(C1=O)C2CCCO2)NC=3C=CC=4OCOC4C3,,377.32800000000015,0.8254999999999999,1,8,100.79,4,0.00023904542353468002
Z2760962909,CC1(C)CN(CCN1CCO)C=2N=CN=C3C2N=CN3CC4(CO)COC4,,376.46100000000024,-0.2718999999999985,2,9,99.77000000000001,6,4.638085940249817e-05
Z2760966608,CNC(=O)C1(C)CCN(C1)C=2N=CN=C3C2N=CN3CC(O)C4CCCO4,,374.4450000000002,0.3286,2,8,105.4,5,0.0001010208540461091
Z2760972620,OC(CN1C=NC2=C(N=CN=C21)N3CCOCC3CC4CCC4)C5CCCO5,,387.4840000000003,1.7615999999999996,1,8,85.53,6,2.232877894999375e-06
Z2760947034,OC1(CN2C=NC3=C(N=CN=C32)N(CC4CCCO4)C5CCCC5)CCOCC1,,401.51100000000037,2.2958,1,8,85.53,6,8.725598951291024e-07
